identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_crichq,key_cricinfo,key_cricinfo_2,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_opta,key_opta_2,key_pulse,key_pulse_2
956887b2,AC McDermott,AC McDermott,,,,,,333810,,,,,,,,
db873292,AC Mushangwe,AC Mushangwe,,,,,,922493,,,,,,,,
9cb022df,A Codrington,A Codrington,,,,,,23848,,,,,,,,
6574768e,A Coningham,A Coningham,,,,,,4611,,,180,,,,,
97b9cb64,A Conteh,A Conteh,,,,,,346649,,,,,,,,
ef160d73,A Cossa,A Cossa,,,,,,1158413,,,,,,,,
06face31,A Cotter,A Cotter,,,,,,4632,,,277,,,,,
ff111ad7,A Coxon,A Coxon,,,,,,10850,,,827,,,,,
749316d2,AC Parore,AC Parore,,,,,,38117,,,1970,,,,,
ea5a4563,A Crafford,A Crafford,,,,,,44670,,,,,,,,
b9a52291,A Cranstone,A Cranstone,,,,,,517573,,,,,,,,
9df3a2f4,ACR Birch,ACR Birch,,,,,,44413,,,,,,,,
96cc6866,AC Smith,AC Smith,,,,,,20222,,,1194,,,,,
ddae3cd2,AC Smith,Asha Smith,,,,,,420311,,,,,,,,
ef08e047,ACS Pigott,ACS Pigott,,,,,,18533,,,1747,,,,,
a839a4b7,AC Stanacu,AC Stanacu,,,,,,1331987,,,,,,,,
964c881f,AC Stockwell,AC Stockwell,,,,,,231309,,,,,,,,
b552a935,AC Thomas,AC Thomas,,,,,,47569,,,,,,,216,
c32a41ba,A Curr,A Curr,,,,,,1064533,,,,,,,,
864c199e,AC Voges,AC Voges,,,,,,8119,,,12201,,,,400,
7dd70cda,AC Waller,AC Waller,,,,,,55840,,,1885,,,,,
de84588e,AC Warren,AC Warren,,,,,,210346,,,,,,,,
b1c113d7,Ada Bhasin,Ada Bhasin,,,,,,1320240,,,,,,,,
397462b9,A Dagar,A Dagar,,,,,,859423,,,,,,,,
a2b35d9b,A Dale,A Dale,,,,,,11790,,,,,,,,
